time	V(n004)
2.685964342644475e-010	-5.051747e-009
2.750250056930189e-010	-5.135059e-009
2.814535771215903e-010	-5.213511e-009
2.878821485501617e-010	-5.287104e-009
2.943107199787331e-010	-5.355837e-009
3.015964342644473e-010	-5.427951e-009
3.088821485501616e-010	-5.494100e-009
3.161678628358759e-010	-5.554284e-009
3.234535771215901e-010	-5.608502e-009
3.307392914073044e-010	-5.656756e-009
3.380250056930186e-010	-5.699044e-009
3.453107199787329e-010	-5.735367e-009
3.538821485501614e-010	-5.771674e-009
3.624535771215900e-010	-5.801525e-009
3.710250056930185e-010	-5.824919e-009
3.795964342644471e-010	-5.841856e-009
3.881678628358756e-010	-5.852337e-009
3.967392914073042e-010	-5.856360e-009
4.053107199787327e-010	-5.853928e-009
4.097392914073041e-010	-5.851016e-009
4.141678628358755e-010	-5.846884e-009
4.185964342644469e-010	-5.841531e-009
4.230250056930183e-010	-5.834958e-009
4.274535771215898e-010	-5.827165e-009
4.318821485501612e-010	-5.818151e-009
4.363107199787326e-010	-5.807917e-009
4.455964342644468e-010	-5.782446e-009
4.548821485501611e-010	-5.753796e-009
4.641678628358754e-010	-5.721967e-009
4.734535771215896e-010	-5.686959e-009
4.827392914073039e-010	-5.648772e-009
4.920250056930181e-010	-5.607407e-009
5.013107199787324e-010	-5.562862e-009
5.121678628358752e-010	-5.508636e-009
5.230250056930180e-010	-5.453988e-009
5.338821485501608e-010	-5.398918e-009
5.447392914073036e-010	-5.343425e-009
5.555964342644465e-010	-5.287509e-009
5.664535771215893e-010	-5.231171e-009
5.773107199787321e-010	-5.174410e-009
5.795964342644464e-010	-5.162745e-009
5.818821485501607e-010	-5.151191e-009
5.841678628358749e-010	-5.139749e-009
5.864535771215892e-010	-5.128419e-009
5.887392914073035e-010	-5.117200e-009
5.910250056930178e-010	-5.106094e-009
5.933107199787320e-010	-5.095099e-009
5.973107199787320e-010	-5.075944e-009
6.013107199787320e-010	-5.057015e-009
6.053107199787320e-010	-5.038310e-009
6.093107199787320e-010	-5.019832e-009
6.133107199787320e-010	-5.001578e-009
6.173107199787320e-010	-4.983550e-009
6.213107199787320e-010	-4.965747e-009
6.254535771215891e-010	-4.947754e-009
6.295964342644462e-010	-4.930173e-009
6.337392914073033e-010	-4.913006e-009
6.378821485501605e-010	-4.896250e-009
6.420250056930176e-010	-4.879908e-009
6.461678628358747e-010	-4.863978e-009
6.503107199787319e-010	-4.848461e-009
6.558821485501604e-010	-4.827335e-009
6.614535771215890e-010	-4.807014e-009
6.670250056930175e-010	-4.787497e-009
6.725964342644461e-010	-4.768785e-009
6.781678628358746e-010	-4.750878e-009
6.837392914073032e-010	-4.733775e-009
6.893107199787317e-010	-4.717477e-009
6.937392914073031e-010	-4.705119e-009
6.981678628358745e-010	-4.693270e-009
7.025964342644460e-010	-4.681930e-009
7.070250056930174e-010	-4.671099e-009
7.114535771215888e-010	-4.660777e-009
7.158821485501602e-010	-4.650964e-009
7.203107199787316e-010	-4.641660e-009
7.264535771215887e-010	-4.629807e-009
7.325964342644459e-010	-4.618766e-009
7.387392914073030e-010	-4.608537e-009
7.448821485501601e-010	-4.599121e-009
7.510250056930172e-010	-4.590516e-009
7.571678628358743e-010	-4.582723e-009
7.633107199787315e-010	-4.575743e-009
7.687392914073029e-010	-4.569937e-009
7.741678628358743e-010	-4.564849e-009
7.795964342644457e-010	-4.560480e-009
7.850250056930171e-010	-4.556830e-009
7.904535771215885e-010	-4.553899e-009
7.958821485501599e-010	-4.551686e-009
8.013107199787313e-010	-4.550191e-009
8.084535771215884e-010	-4.548522e-009
8.155964342644456e-010	-4.547529e-009
8.227392914073027e-010	-4.547210e-009
8.298821485501598e-010	-4.547567e-009
8.370250056930169e-010	-4.548599e-009
8.441678628358740e-010	-4.550306e-009
8.513107199787312e-010	-4.552689e-009
8.585964342644454e-010	-4.556915e-009
8.658821485501597e-010	-4.561443e-009
8.731678628358739e-010	-4.566273e-009
8.804535771215882e-010	-4.571405e-009
8.877392914073025e-010	-4.576839e-009
8.950250056930167e-010	-4.582575e-009
9.023107199787310e-010	-4.588613e-009
9.078821485501596e-010	-4.593515e-009
9.134535771215884e-010	-4.598566e-009
9.190250056930171e-010	-4.603763e-009
9.245964342644457e-010	-4.609109e-009
9.301678628358745e-010	-4.614603e-009
9.357392914073031e-010	-4.620244e-009
9.413107199787318e-010	-4.626034e-009
9.474535771215896e-010	-4.633217e-009
9.535964342644473e-010	-4.640260e-009
9.597392914073051e-010	-4.647162e-009
9.658821485501627e-010	-4.653925e-009
9.720250056930206e-010	-4.660547e-009
9.781678628358784e-010	-4.667030e-009
9.843107199787361e-010	-4.673371e-009
1.000000000000000e-009	-4.694802e-009
1.000100000000000e-009	-5.210338e-009
1.000300000000000e-009	-8.231242e-009
1.000600000000000e-009	-2.105267e-008
1.001000000000000e-009	-5.050426e-008
1.001120000000000e-009	-6.696946e-008
1.001280000000000e-009	-9.315121e-008
1.001600000000000e-009	-1.570404e-007
1.002240000000000e-009	-3.097544e-007
1.003240000000000e-009	-5.677720e-007
1.004240000000000e-009	-8.030843e-007
1.005240000000000e-009	-9.623600e-007
1.006240000000000e-009	-9.958521e-007
1.007240000000000e-009	-8.628523e-007
1.008240000000000e-009	-5.304136e-007
1.009240000000000e-009	1.271905e-008
1.010000000000000e-009	6.014232e-007
1.011000000000000e-009	1.554226e-006
1.011300000000000e-009	1.917809e-006
1.011600000000000e-009	2.315045e-006
1.012000000000000e-009	2.883053e-006
1.012280000000000e-009	3.340878e-006
1.012600000000000e-009	3.915275e-006
1.013240000000000e-009	5.194593e-006
1.014240000000000e-009	7.449843e-006
1.015240000000000e-009	9.983905e-006
1.016240000000000e-009	1.278607e-005
1.017240000000001e-009	1.582082e-005
1.018240000000001e-009	1.906082e-005
1.019240000000001e-009	2.248541e-005
1.020240000000001e-009	2.607904e-005
1.021240000000001e-009	2.982962e-005
1.022240000000001e-009	3.372699e-005
1.023240000000001e-009	3.776172e-005
1.024240000000001e-009	4.192434e-005
1.025240000000001e-009	4.620488e-005
1.026240000000001e-009	5.059289e-005
1.027240000000002e-009	5.507755e-005
1.028240000000002e-009	5.964798e-005
1.029240000000002e-009	6.429365e-005
1.030240000000002e-009	6.900459e-005
1.031240000000002e-009	7.377159e-005
1.032240000000002e-009	7.858635e-005
1.033240000000002e-009	8.344141e-005
1.034240000000002e-009	8.833008e-005
1.035240000000002e-009	9.324638e-005
1.036240000000002e-009	9.818484e-005
1.037240000000003e-009	1.031405e-004
1.038240000000003e-009	1.081086e-004
1.039240000000003e-009	1.130849e-004
1.040240000000003e-009	1.180653e-004
1.041240000000003e-009	1.230460e-004
1.042240000000003e-009	1.280234e-004
1.043240000000003e-009	1.329941e-004
1.044240000000003e-009	1.379552e-004
1.045240000000003e-009	1.429036e-004
1.046240000000003e-009	1.478367e-004
1.047240000000004e-009	1.527521e-004
1.048240000000004e-009	1.576473e-004
1.049240000000004e-009	1.625204e-004
1.050240000000004e-009	1.673693e-004
1.051240000000004e-009	1.721922e-004
1.052240000000004e-009	1.769873e-004
1.053240000000004e-009	1.817532e-004
1.054240000000004e-009	1.864884e-004
1.055240000000004e-009	1.911914e-004
1.056240000000004e-009	1.958612e-004
1.057240000000005e-009	2.004966e-004
1.058240000000005e-009	2.050965e-004
1.059240000000005e-009	2.096599e-004
1.060240000000005e-009	2.141859e-004
1.061240000000005e-009	2.186737e-004
1.062240000000005e-009	2.231225e-004
1.063240000000005e-009	2.275317e-004
1.064240000000005e-009	2.319004e-004
1.065240000000005e-009	2.362283e-004
1.066240000000005e-009	2.405147e-004
1.067240000000006e-009	2.447590e-004
1.068240000000006e-009	2.489609e-004
1.069240000000006e-009	2.531200e-004
1.070240000000006e-009	2.572357e-004
